 | src | Файл существует | Каталог | Не скрытый | Размер файла: 0 байт | время последнего изменения файла: 01-07-2024 15:29:50 |
 | res | Файл существует | Каталог | Не скрытый | Размер файла: 0 байт | время последнего изменения файла: 01-07-2024 15:29:50 |
 | savegames | Файл существует | Каталог | Не скрытый | Размер файла: 0 байт | время последнего изменения файла: 01-07-2024 15:29:50 |
 | temp | Файл существует | Каталог | Не скрытый | Размер файла: 0 байт | время последнего изменения файла: 01-07-2024 15:29:50 |
 | main | Файл существует | Каталог | Не скрытый | Размер файла: 0 байт | время последнего изменения файла: 01-07-2024 15:29:50 |
 | test | Файл существует | Каталог | Не скрытый | Размер файла: 0 байт | время последнего изменения файла: 01-07-2024 15:29:50 |
 | Main.java | Файл существует | Файл | Не скрытый | Размер файла: 0 байт | время последнего изменения файла: 01-07-2024 15:29:50 |
 | Utils.java | Файл существует | Файл | Не скрытый | Размер файла: 0 байт | время последнего изменения файла: 01-07-2024 15:29:50 |
 | drawables | Файл существует | Каталог | Не скрытый | Размер файла: 0 байт | время последнего изменения файла: 01-07-2024 15:29:50 |
 | vectors | Файл существует | Каталог | Не скрытый | Размер файла: 0 байт | время последнего изменения файла: 01-07-2024 15:29:50 |
 | icons | Файл существует | Каталог | Не скрытый | Размер файла: 0 байт | время последнего изменения файла: 01-07-2024 15:29:50 |
 | temp.txt | Файл существует | Файл | Не скрытый | Размер файла: 0 байт | время последнего изменения файла: 01-07-2024 15:29:50 |
